input,action
"Any[11.6, -23.2]",6.274656648705825
"Any[-23.2, 11.6]",-10.187216466493037
"Any[-23.2, 11.6]",-16.30452107936331
"Any[-23.2, 11.6]",-18.292319687553103
"Any[11.6, -11.6]",1.47958703667004
"Any[-23.2, 0.0]",-13.933622068955318
"Any[-11.6, 11.6]",-7.303574674681579
"Any[0.0, -11.6]",-5.893894842381304
"Any[23.2, -11.6]",15.648570013989518
"Any[23.2, -11.6]",16.060351132945907
"Any[0.0, 11.6]",6.16073602713227
"Any[-11.6, 23.2]",-8.376720447377771
"Any[-11.6, 11.6]",-11.771602254381557
"Any[23.2, 0.0]",11.00701039658846
"Any[-11.6, 0.0]",-10.303769428163228
"Any[-11.6, 23.2]",-5.734843516381063
"Any[0.0, 23.2]",-6.3173681520308795
"Any[23.2, -11.6]",5.445570199556375
"Any[0.0, 23.2]",0.7441543012626913
"Any[11.6, -11.6]",3.8332294724827767
"Any[11.6, -23.2]",9.18744907535886
"Any[-11.6, -23.2]",-2.184483178431365
"Any[23.2, 11.6]",22.94156050004057
"Any[23.2, 11.6]",11.862625391113095
"Any[0.0, -23.2]",1.0494625469978853
"Any[-23.2, 11.6]",-6.646349523755329
"Any[11.6, 23.2]",4.648565121173457
"Any[-23.2, 11.6]",-21.941118539874985
"Any[11.6, -23.2]",4.788427899947578
"Any[-23.2, 11.6]",-11.267458737726924
"Any[23.2, -11.6]",12.543017991901971
"Any[23.2, 11.6]",14.75216447844918
"Any[-11.6, 11.6]",-10.749523385586718
"Any[0.0, 11.6]",1.7376279721405208
"Any[-11.6, 0.0]",-12.619243147058977
"Any[0.0, 23.2]",1.375778997523857
"Any[0.0, -23.2]",-7.351137623200657
"Any[23.2, -11.6]",18.69278318135864
"Any[11.6, -11.6]",10.010063642305319
"Any[23.2, 0.0]",19.024643520636225
"Any[11.6, 0.0]",7.317664227420964
"Any[23.2, 0.0]",17.027917262212824
"Any[-11.6, 11.6]",-5.657920014801618
"Any[-11.6, 23.2]",-9.478459078307889
"Any[11.6, -23.2]",-0.033470472368055115
"Any[23.2, -11.6]",17.796357758288146
"Any[0.0, 11.6]",2.6948970356492676
"Any[-11.6, -23.2]",-6.774759498505966
"Any[11.6, -23.2]",10.210113408544863
"Any[11.6, -23.2]",12.056117516824512
"Any[-23.2, 0.0]",-7.049182061999046
"Any[-23.2, 11.6]",-13.385461919061012
"Any[-11.6, 23.2]",-11.267543865858917
"Any[-23.2, 0.0]",-22.42854826526381
"Any[-23.2, 11.6]",-16.55031591231959
"Any[11.6, -11.6]",0.7284990537084475
"Any[0.0, 11.6]",0.10320473465328725
"Any[-23.2, -11.6]",-18.454510148882562
"Any[0.0, -23.2]",1.6688277894909578
"Any[0.0, -11.6]",1.2984245167552468
"Any[-11.6, 23.2]",-3.490384625560267
"Any[23.2, -11.6]",8.68710373109039
"Any[0.0, -11.6]",2.9031307809384064
"Any[11.6, -11.6]",11.463347941548069
"Any[-11.6, 0.0]",-5.396706047750293
"Any[11.6, 23.2]",8.674001681460561
"Any[11.6, -23.2]",0.18920485320785574
"Any[-11.6, 11.6]",-0.4249681373919141
"Any[-23.2, -11.6]",-17.406336050931614
"Any[-23.2, 11.6]",-12.527665436690075
"Any[11.6, 23.2]",2.2995856112416067
"Any[11.6, 0.0]",-0.8319759635466113
"Any[0.0, 23.2]",0.21746794078678858
"Any[-11.6, 23.2]",-13.060632130109799
"Any[-23.2, 0.0]",-19.64184880523817
"Any[-11.6, -23.2]",-11.870041955339655
"Any[11.6, 0.0]",8.764825759202925
"Any[23.2, -11.6]",13.767488558671497
"Any[-23.2, 0.0]",-11.989625178461505
"Any[0.0, -11.6]",-2.011482942355635
"Any[-23.2, -11.6]",-12.147815777141187
"Any[23.2, 0.0]",15.593013244381819
"Any[0.0, -23.2]",-0.9237670725193121
"Any[23.2, -11.6]",22.842374722929108
"Any[-23.2, 0.0]",-12.139362010550391
"Any[-23.2, 11.6]",-13.749881366452762
"Any[-23.2, 0.0]",-17.915430780574823
"Any[-23.2, 0.0]",-16.82874577111437
"Any[23.2, -11.6]",11.24435978807619
"Any[-11.6, 0.0]",-8.117023702377205
"Any[23.2, 0.0]",16.418051347803033
"Any[0.0, -23.2]",-1.3442996954905313
"Any[11.6, 23.2]",14.295028789348141
"Any[-11.6, 11.6]",-11.761314274828212
"Any[-11.6, -23.2]",-7.856728722048367
"Any[-23.2, -11.6]",-10.186331112219662
"Any[11.6, -23.2]",10.130402341924142
"Any[0.0, 11.6]",2.9875979425374553
"Any[-11.6, 0.0]",-7.753938944010324
"Any[-11.6, 23.2]",-7.294308203130177
"Any[-11.6, 23.2]",-13.938275026299909
"Any[23.2, 11.6]",8.441094965118333
"Any[23.2, -11.6]",10.330232557217032
"Any[11.6, -23.2]",10.36539241838805
"Any[-23.2, 0.0]",-6.882574022875707
"Any[-23.2, 11.6]",-14.502391493100735
"Any[11.6, -11.6]",3.8256914221548177
"Any[-23.2, 11.6]",-11.967958282021396
"Any[23.2, 0.0]",10.83285222870007
"Any[-23.2, 11.6]",-15.815560139371469
"Any[0.0, -11.6]",0.11739149587649189
"Any[23.2, 0.0]",15.853127095020088
"Any[23.2, 11.6]",15.391665146992715
"Any[23.2, 11.6]",12.84295849083806
"Any[0.0, 23.2]",-0.33235868456011575
"Any[11.6, -23.2]",3.1063982753918467
"Any[-11.6, 11.6]",-4.182562493691834
"Any[-11.6, 23.2]",-10.425240209893753
"Any[-11.6, 23.2]",-12.834339813872003
"Any[11.6, -11.6]",-1.0929372118619558
"Any[11.6, -23.2]",7.148515280857232
"Any[11.6, 0.0]",12.143566915695132
"Any[-11.6, 11.6]",-7.0554084371204935
"Any[11.6, -11.6]",3.94085323063379
"Any[0.0, -23.2]",3.2260915968031125
"Any[11.6, -11.6]",11.733904158728242
"Any[23.2, 0.0]",15.801307721199906
"Any[0.0, 23.2]",1.373519511233907
"Any[23.2, -11.6]",10.20951099548866
"Any[23.2, -11.6]",17.403376181718897
"Any[0.0, 11.6]",4.8198439057080975
"Any[-23.2, -11.6]",-13.505193156044303
"Any[0.0, -23.2]",3.104976883368136
"Any[-11.6, 0.0]",-3.8603012477407765
"Any[0.0, 11.6]",0.05390147367047578
"Any[0.0, -23.2]",-3.936292346241564
"Any[-11.6, 23.2]",-1.9765089438364338
"Any[0.0, -11.6]",-7.019268476636269
"Any[-11.6, -23.2]",-5.836959176788757
"Any[-11.6, -23.2]",-1.5298829098355993
"Any[0.0, -11.6]",3.134221126558319
"Any[-23.2, 11.6]",-11.833031312664339
"Any[11.6, 23.2]",3.5390664816378865
"Any[-11.6, 11.6]",-13.655937963494786
"Any[-23.2, -11.6]",-16.489739922928315
"Any[0.0, 23.2]",-0.7446204724255471
"Any[11.6, 0.0]",0.2894724143152141
"Any[11.6, 0.0]",5.294452599695919
"Any[-11.6, 23.2]",-6.0674702618511205
"Any[-23.2, 11.6]",-17.84587276146946
"Any[11.6, -23.2]",0.9991654004036872
"Any[11.6, -23.2]",10.33308796476284
"Any[23.2, -11.6]",18.47734296844965
"Any[11.6, 23.2]",13.26113451327166
"Any[0.0, 11.6]",-4.580477787425671
"Any[23.2, -11.6]",12.922029006695942
"Any[-11.6, -23.2]",-3.9497629572219575
"Any[-23.2, 11.6]",-7.523594189312614
"Any[-11.6, 23.2]",-10.271006414986564
"Any[0.0, -23.2]",-7.070665308141931
"Any[-11.6, -23.2]",-4.38706741976929
"Any[-11.6, 11.6]",-2.875501858254217
"Any[11.6, -23.2]",3.4492998361686635
"Any[23.2, -11.6]",18.003357492686405
"Any[-23.2, -11.6]",-11.532139139111022
"Any[11.6, 0.0]",11.711994622858827
"Any[0.0, 23.2]",2.4883986840262486
"Any[0.0, 11.6]",-5.1267432764708225
"Any[0.0, -23.2]",-3.8843778103644913
"Any[11.6, -11.6]",10.342327387275633
"Any[11.6, -23.2]",8.924168016646835
"Any[-11.6, 23.2]",2.174548045637099
"Any[-23.2, 0.0]",-18.691800448385166
"Any[-23.2, 11.6]",-15.936988963868613
"Any[11.6, -11.6]",2.342613320857133
"Any[23.2, -11.6]",13.309952253579755
"Any[23.2, -11.6]",16.98265211293314
"Any[-11.6, 11.6]",-1.152884255577158
"Any[11.6, 0.0]",7.163342726153276
"Any[11.6, -23.2]",5.547718329233227
"Any[23.2, 0.0]",19.67896546833416
"Any[0.0, -11.6]",-0.6662962088356037
"Any[23.2, 0.0]",18.76304938808579
"Any[-23.2, 0.0]",-14.036452040062253
"Any[-23.2, 11.6]",-10.95173667627834
"Any[23.2, -11.6]",8.320806958171678
"Any[23.2, 0.0]",12.792539750602339
